Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Austria,AUT,6.32832536226099,6.80304177599256,5.43603082512853,3.33916453409529,5.66318573909355,3.1895168180519,1.70544456731969,1.40195271783978,1.91571684671255,2.56834829029368,3.26187231878578,3.3374270347479,4.02084780038555,3.63178524943182,2.95340936761076,2.24336631500904,1.86097115760431,1.30597857227694,0.92246719668082,0.568993765885587,2.34486285357277,2.65000077279529,1.81035787764132,1.35555370896445,2.06120618032866,2.29913785639285,1.44154851119019,2.16855528800755,3.21595033239883,0.506308827696486,1.81353438995065,3.28657914875376,2.48567562177017,2.00015616900603,1.60581182954471,0.896563335260302,0.891591752655335,2.08126911385587,1.99837981429546,1.53089564152645,1.38191063351859
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belgium,BEL,6.64868829655357,7.62748656814273,8.72654906555468,7.66160983743879,6.34177491009128,4.86873399496945,1.29436819102482,1.55338261314945,1.16093493415326,3.10705065111097,3.44831217961809,3.21531069260804,2.42795567164621,2.75442643473457,2.37754084476403,1.46796699090272,2.07702107350668,1.62816049512961,0.949250288350641,1.12084823417844,2.54451776190906,2.46925823086078,1.64521436175359,1.58896399970379,2.09728311239314,2.78143263670025,1.79120770070454,1.8230563002681,4.48944420508401,-0.0531456741253762,2.18929920422458,3.53208210722744,2.83966343445897,1.11309594027537,0.340002833356965,0.561429152790106,1.97385264653172,2.12597086002609,2.05316499865181,1.43681956996435,0.740791812220385
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bulgaria,BGR,..,..,..,..,..,..,2.69999999999987,2.72638753651414,2.36966824644548,6.38888888888879,23.8000000000003,338.449111470112,91.2979327269304,72.8787913866333,96.0573382686504,62.0548336837993,121.60754244925,1058.37355921973,18.6722044420641,2.57304281890204,10.3162621289989,7.36093927231849,5.81014365721823,2.34864169582755,6.1471307424627,5.03883807111907,7.26159462769947,8.40253419005894,12.3487195994021,2.75320223914816,2.43899060504117,4.21990346601875,2.95456829831017,0.890093540913032,-1.41818380264842,-0.104633261008417,-0.798649886453611,2.06159619443137,2.81454473824833,3.10372944796774,1.67244096855762
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Croatia,HRV,..,..,..,..,..,..,50,133.333263744315,185.714285714285,1400,500,122.222222222222,625.000000000001,1500,107.327586206896,3.95010395010403,4.29999999999994,4.17066155321187,6.39668660837554,4.01913875598084,4.611315547378,3.7767024666589,1.67178437393382,1.76733780760626,2.05539679050332,3.31717824448043,3.1898259147295,2.89928275583392,6.07696838798351,2.37852845904674,1.03055505333573,2.27272727272727,3.41207349081366,2.2165820642978,-0.215196159576215,-0.464499004645002,-1.12500000000001,1.12937210282344,1.50012501041753,0.771820346498083,0.154811374562028
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cyprus,CYP,13.5175605772583,10.7446936083977,6.43279726693689,5.0497142410088,5.99195111048443,5.03445366364797,1.21836925967666,2.79166666666695,3.42926631536283,3.76548048283393,4.5020546289584,5.03527438848105,6.51021953065819,4.85416666666693,4.69858931054978,2.61581787956337,2.97892486481268,3.60534444364628,2.22770732654317,1.62999999999998,4.14165764702056,1.97304191729919,2.80115505180746,4.13906538686856,2.28621706801675,2.56016132330235,2.30468732978557,2.37265183669722,4.66900841902484,0.326276652249795,2.43004084102253,3.28944939564212,2.38905410042319,-0.399357676464408,-1.35498885446312,-2.09699769053118,-1.42916666666668,0.5317664961745,1.43549119531762,0.250370996758456,-0.638422797978907
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Czech Republic,CZE,..,..,..,..,..,..,..,..,..,..,..,..,11.086500072223,20.8130295438428,10.039429835143,8.99052361478446,8.75877472878111,8.59615666715562,10.6983655274889,2.1354484441733,3.77538829151733,4.66267556988255,1.90298097019031,0.118739205526785,2.76010781671159,1.85709789109223,2.53399258343632,2.85312437211172,6.35866380152374,1.0193773532923,1.47272727272729,1.91721913635547,3.28762306610408,1.43829787234043,0.343988589646784,0.309364548494974,0.683504209385683,2.45053398460138,2.14949494949492,2.84787595918047,3.16129528497808
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Denmark,DNK,12.3053240760182,11.7673874344182,10.1208256779823,6.90822881158847,6.29077936023767,4.6787514518325,3.67818411863458,4.01999345683155,4.53513301015726,4.77272342435524,2.64160306382,2.39515331724414,2.09604442933213,1.25785667953261,1.99201463809523,2.0836084238285,2.12629802275579,2.18216677907117,1.84565122007891,2.49779544404528,2.90328203236457,2.33787000255261,2.42443661219694,2.07507820646504,1.15435693124937,1.81781458291257,1.92422138464588,1.69326586220319,3.41626794258375,1.30470991024336,2.31092436974789,2.75868226051246,2.39791485664639,0.789071780078061,0.564020540449518,0.452034153691623,0.249999999999997,1.14713216957606,0.813609467455633,0.758131572511619,0.420711974110026
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,89.8119490277274,47.6546906187628,28.7766137208514,23.050343349517,10.5818789322146,8.20833333333299,3.29611089718906,4.0184895250876,5.74827981651377,3.57191270164023,1.33499116549964,3.04811107523412,4.07971423199846,4.43762042389211,6.60132603055634,10.3623580313683,-0.0784083112810205,2.97204512015696,4.9819013145361,3.93339987296979,2.78056658954996,-0.106175146521716,-0.492326006547338,0.148684907627356,3.41723549488057,3.43632688420445,2.27725931243518,-0.444531097679859
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Finland,FIN,11.5946192492108,11.3057566509549,9.58492764677443,8.3662926064564,7.06765638328174,5.19562195429434,2.93357920442334,4.11302886205054,5.08592861394881,6.59290980189127,6.14956531179854,4.31021289843461,2.91932319285018,2.19065319556431,1.08855677589407,0.791239406938448,0.629194238121014,1.1925588342584,1.3994737857984,1.16223155669443,3.04210080667796,2.57844080098894,1.57122012789382,0.877440386254743,0.187120559084453,0.623874450025199,1.56666380704384,2.51066565240339,4.06595355358378,-9.17360403259616E-07,1.1841352315465,3.41680754255211,2.80833622561575,1.47828615688804,1.04119621178439,-0.207928839905218,0.356684500891696,0.754015047084413,1.08382098409299,1.02409392963429,0.290554555653313
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,France,FRA,13.5625788483016,13.3144055680071,11.9784719523805,9.45954847235314,7.6738026224732,5.83109973854516,2.53852591781416,3.28889821400136,2.70081527508111,3.49830220700748,3.19428338029481,3.21340732409685,2.36376046269354,2.10446277124641,1.65551532926996,1.79648142095595,1.98288365089736,1.20394294026966,0.65112686783302,0.537141639134613,1.6759598872093,1.63478079549599,1.9234122872706,2.09847219146922,2.14208964640242,1.74586936380481,1.67512449608728,1.48799805953858,2.81286194914787,0.0876204781574529,1.53112270420924,2.11159795174997,1.95419531613507,0.863715497861826,0.507758822937957,0.0375143805125363,0.183334861123848,1.03228275064674,1.85081508315494,1.10825492288292,0.476498852725083
